M1	0	1
M2	3.9	1
M3	16.8	1
M4	24.2	1
M5	27.9	1
M6	28.6	1
M7	32.6	1
M8	36.1	1
M9	41.2	1
M10	42.2	1
M11	43	1
M12	67.2	1
M13	68.4	1
M14	71.1	1
M15	73	1
M16	111.9	1
M17	114.7	1
M18	120	1
M19	0	2
M20	4.3	2
M21	16.7	2
M22	23	2
M23	23.2	2
M24	38.7	2
M25	42.5	2
M26	45.2	2
M27	82	2
M28	84.9	2
M29	89.5	2
M30	90.5	2
M31	98.3	2
M32	107.8	2
M33	115.2	2
M34	117.5	2
M35	120	2
M36	0	3
M37	8.5	3
M38	9	3
M39	15.6	3
M40	16.1	3
M41	18.3	3
M42	20.5	3
M43	26	3
M44	33.8	3
M45	35.9	3
M46	38.9	3
M47	41.3	3
M48	53.9	3
M49	85.9	3
M50	93.7	3
M51	95.3	3
M52	97	3
M53	112.5	3
M54	120	3
M55	0	4
M56	2.9	4
M57	16.8	4
M58	32.2	4
M59	37.9	4
M60	46.3	4
M61	73.3	4
M62	75	4
M63	81.9	4
M64	88.5	4
M65	89.6	4
M66	92.8	4
M67	120	4
M68	0	5
M69	22.9	5
M70	36.3	5
M71	39	5
M72	45	5
M73	54.2	5
M74	59.6	5
M75	61.3	5
M76	62	5
M77	90.6	5
M78	100.6	5
M79	110.8	5
M80	111.6	5
M81	115	5
M82	120	5
M83	0	6
M84	7.6	6
M85	21.1	6
M86	30	6
M87	39.5	6
M88	41.8	6
M89	45.4	6
M90	53.2	6
M91	71.2	6
M92	77.3	6
M93	77.4	6
M94	84.1	6
M95	86.7	6
M96	92.4	6
M97	95.5	6
M98	95.6	6
M99	102.2	6
M100	102.5	6
M101	107.5	6
M102	108.3	6
M103	113.9	6
M104	120	6
